City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,72.86,light rain,-23.1203,-134.9692,People ThankYou
2,Hermanus,ZA,56.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Kedrovyy,RU,59.41,overcast clouds,56.1667,91.8167,
4,Torbay,CA,72.37,broken clouds,47.6666,-52.7314,Gallows Cove
5,Kodiak,US,51.31,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
6,Tuktoyaktuk,CA,57.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
7,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
8,Linxia,CN,64.18,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
9,Nikolskoye,RU,73.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
10,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
11,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
12,Atuona,PF,76.59,light rain,-9.8,-139.0333,Villa Enata
13,Port Alfred,ZA,58.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
14,Constitucion,CL,55.06,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
15,Yershov,RU,71.19,broken clouds,51.3513,48.2766,Gudok
17,Busselton,AU,63.66,light rain,-33.65,115.3333,Observatory Guest House
18,Port Lincoln,AU,50.83,clear sky,-34.7333,135.8667,Port Lincoln Hotel
19,Gondanglegi,ID,73.18,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
20,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Moose Factory,CA,62.6,haze,51.2585,-80.6094,Cree Village Eco Lodge
24,Marawi,PH,70.3,overcast clouds,7.9986,124.2928,Derogongan Residence
25,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
26,Magadan,RU,61.54,few clouds,59.5667,150.8,Magadan hotel
28,Hilo,US,71.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Yellowknife,CA,61.32,overcast clouds,62.456,-114.3525,The Explorer Hotel
30,Kavieng,PG,81.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Tahmek,MX,87.94,few clouds,20.8833,-89.2667,Hacienda San Jose Poniente
32,Springbok,ZA,57.74,clear sky,-29.6643,17.8865,Undulata Country Lodge
33,Dongsheng,CN,70.59,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
34,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
35,Leoben,AT,83.89,clear sky,47.3461,15.1257,Hotel Kongress Leoben
36,Presidencia Roque Saenz Pena,AR,75.96,few clouds,-26.7852,-60.4388,Hotel Gualok
37,Butaritari,KI,81.03,light rain,3.0707,172.7902,Isles Sunset Lodge
38,Victoria,HK,88.18,clear sky,22.2855,114.1577,Mini Central
39,Koumac,NC,73.58,overcast clouds,-20.5667,164.2833,Le Monitel
40,Ayagoz,KZ,72.61,overcast clouds,47.9714,80.4392,ХАН
41,Kapaa,US,75.52,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Mar Del Plata,AR,58.08,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
43,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,Chuy,UY,58.23,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
45,Pa Sang,TH,81.79,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
46,Port Elizabeth,ZA,59.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
47,Uthal,PK,84.88,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
